train,dev,test
0.5180789576745564,0.45355767682382647,0.4377577252624884
0.4857931966274405,0.4364808064357453,0.4214510331677903
0.47675446935681,0.42149404471875745,0.4137164518991484
0.4706284750088932,0.4318484528516131,0.42009268230357083
0.4644078771205954,0.4497009793896902,0.4267727687501528
0.4617554245845985,0.4193897208427579,0.4080638600462781
0.4588963711998347,0.46938525125870784,0.4619776943501703
0.455182813087629,0.41420648386899234,0.39977359902511084
0.453285997277769,0.42352644610924045,0.40491937684705803
0.45056169681193514,0.415061552793797,0.4034340854185336
0.4487259426269658,0.4173783352211951,0.40388609325625413
0.44701216667072474,0.4321231469871441,0.41432665966553694
0.4452577699642848,0.4258113817251587,0.40632366509076967
0.4453696004887819,0.4260567045315724,0.4100241444716172
0.44368787497158335,0.4289597137615501,0.41040597686772395
0.44183702127876623,0.41110610924545293,0.39824592707028006
0.4399555286464453,0.4168677967621695,0.4039276249066189
0.44008925708623536,0.43719958521000035,0.4182470805558302
0.4388134638092605,0.4276778676509682,0.40833927867780084
0.43763267090146313,0.4367707627001725,0.41429806791905305
0.43701255429530544,0.4106173446975851,0.39642197407867674
0.43713695638133304,0.4151654698988682,0.4000199555477821
0.43698127228880584,0.433999578166819,0.4171834892703493
0.43486014020770436,0.4189421682247083,0.4025482908355935
0.4334959681105728,0.432602060812452,0.41024062059967376
0.4342389665325906,0.41969351395915355,0.4049958886070514
0.4332243998454276,0.41466394690620884,0.39909099206119575
0.4312375436428651,0.4284268985011706,0.41170440537206243
0.4310511488406553,0.4119019323444803,0.40120910511987856
0.4319038792739821,0.4121651510276437,0.3943376092541445
